event-id,visible,timestamp,location-long,location-lat,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
16309211,true,2003-06-21 02:34:00.000,7.1050010285335,46.9069363276641,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",355683.36334456434,5196565.450124581,"32N","Central European Time",2003-06-21 04:34:00.000
16309212,true,2003-06-21 02:45:00.000,7.1182586891887,46.9331172493713,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356762.8105602291,5199450.388616631,"32N","Central European Time",2003-06-21 04:45:00.000
16309213,true,2003-06-21 02:54:00.000,7.11739765261412,46.9314756932494,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356692.89026278816,5199269.550582937,"32N","Central European Time",2003-06-21 04:54:00.000
16309214,true,2003-06-21 03:05:00.000,7.11754762241636,46.9341057492532,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356711.3232910823,5199561.531165748,"32N","Central European Time",2003-06-21 05:05:00.000
16309215,true,2003-06-21 22:32:00.000,7.05012251454114,46.9207388680449,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",351542.24256205687,5198201.632923396,"32N","Central European Time",2003-06-22 00:32:00.000
16309216,true,2003-06-21 22:43:00.000,7.0687342907352,46.9220498481597,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",352962.8391701609,5198312.2417819295,"32N","Central European Time",2003-06-22 00:43:00.000
16309217,true,2003-06-21 22:51:00.000,7.05213586124012,46.9282521183585,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",351716.26931101177,5199032.700527802,"32N","Central European Time",2003-06-22 00:51:00.000
16309218,true,2003-06-21 22:59:00.000,7.04430894596673,46.9298590993158,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",351124.9046114934,5199226.101759577,"32N","Central European Time",2003-06-22 00:59:00.000
16309219,true,2003-06-21 23:07:00.000,7.05800388463229,46.9239527547963,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",352151.1359656537,5198543.8710244,"32N","Central European Time",2003-06-22 01:07:00.000
16309220,true,2003-06-21 23:26:00.000,7.05509454967663,46.9036754468024,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",351873.7657255599,5196296.136398235,"32N","Central European Time",2003-06-22 01:26:00.000
16309221,true,2003-06-21 23:43:00.000,7.03405573636437,46.9032008379315,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",350270.14448618365,5196283.344097945,"32N","Central European Time",2003-06-22 01:43:00.000
16309222,true,2003-06-22 00:30:00.000,7.07585904511214,46.9452502498804,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353568.5441143828,5200876.956632363,"32N","Central European Time",2003-06-22 02:30:00.000
16309223,true,2003-06-22 00:40:00.000,7.03066335779679,46.9175891715175,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",350051.92968071357,5197888.661817396,"32N","Central European Time",2003-06-22 02:40:00.000
16309224,true,2003-06-22 00:48:00.000,7.0692535240317,46.939871469376,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353051.1397020725,5200291.621993394,"32N","Central European Time",2003-06-22 02:48:00.000
16309225,true,2003-06-22 01:29:00.000,7.0894763628364,46.9477088518231,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",354611.4861591106,5201124.810730504,"32N","Central European Time",2003-06-22 03:29:00.000
16309226,true,2003-06-22 01:37:00.000,7.08592497251635,46.9554918252895,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",354362.35799259215,5201996.258243204,"32N","Central European Time",2003-06-22 03:37:00.000
